"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",135.031723022461
"FDW14","OUT017",161.983612060547
"NCN55","OUT010",0
"FDQ58","OUT017",129.398498535156
"FDY38","OUT027",17.6210765838623
"FDH56","OUT046",165.023376464844
"FDL48","OUT018",1.82224249839783
"FDC48","OUT027",0
"FDN33","OUT045",156.960525512695
"FDA36","OUT017",126.176712036133
"FDT44","OUT017",130.817459106445
"FDQ56","OUT045",130.817459106445
"NCC54","OUT019",96.7651138305664
"FDU11","OUT049",123.74568939209
"DRL59","OUT013",0
"FDM24","OUT049",159.721221923828
"FDI57","OUT045",123.446868896484
"DRC12","OUT018",0
"NCM42","OUT027",0
"FDA46","OUT010",0
"FDA31","OUT013",0
"NCJ31","OUT035",137.633605957031
"FDG52","OUT046",132.968017578125
"NCL19","OUT019",103.100044250488
"FDS10","OUT035",129.038482666016
"FDX22","OUT010",0
"NCF19","OUT035",129.686004638672
"NCE06","OUT046",135.060653686523
"DRC27","OUT046",143.857727050781
"FDE21","OUT035",135.331115722656
"NCR42","OUT019",95.9077529907227
"FDX51","OUT018",0
"NCR06","OUT018",0
"FDU31","OUT027",3.23859214782715
"FDU59","OUT017",118.134613037109
"FDR03","OUT027",0
"FDS49","OUT027",0
"FDD48","OUT010",0
"NCF18","OUT017",127.369148254395
"NCD43","OUT027",0
"NCD54","OUT018",0
"FDY19","OUT010",0
"NCY54","OUT017",127.369148254395
"NCL19","OUT018",0
"FDP23","OUT010",0
"FDC26","OUT013",0
"FDR14","OUT010",0
"NCS41","OUT035",135.497680664062
"FDF41","OUT035",127.518463134766
"FDU34","OUT046",134.413101196289
"DRH11","OUT046",145.047149658203
"FDM03","OUT013",0
"FDS31","OUT017",158.005096435547
"FDJ20","OUT017",158.005096435547
"FDV44","OUT027",3.23859214782715
"FDG02","OUT049",138.489379882812
"FDA09","OUT013",0
"FDT04","OUT013",0
"FDL58","OUT019",126.353340148926
"FDE52","OUT045",161.983612060547
"FDW12","OUT035",153.463745117188
"FDL51","OUT017",161.983612060547
"NCY42","OUT027",0
"FDR07","OUT017",130.817459106445
"FDN40","OUT045",124.889587402344
"FDB35","OUT027",1.22939872741699
"FDA22","OUT017",126.069488525391
"NCL06","OUT046",135.060653686523
