"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1808.45148172071
"FDW14","OUT017",1579.33244338037
"NCN55","OUT010",1876.26072009354
"FDQ58","OUT017",2632.75989206864
"FDY38","OUT027",5174.39514073408
"FDH56","OUT046",1949.05177141487
"FDL48","OUT018",582.411472653545
"FDC48","OUT027",2791.5223451086
"FDN33","OUT045",1510.3413647823
"FDA36","OUT017",3128.37991019321
"FDT44","OUT017",2062.0152892969
"FDQ56","OUT045",1349.28321611068
"NCC54","OUT019",1870.67655884993
"FDU11","OUT049",2033.21229123583
"DRL59","OUT013",888.671633599692
"FDM24","OUT049",2489.44829641925
"FDI57","OUT045",3113.22526514869
"DRC12","OUT018",2761.75790548831
"NCM42","OUT027",3190.33086630443
"FDA46","OUT010",1175.51950812337
"FDA31","OUT013",2833.37709403977
"NCJ31","OUT035",3862.81849346388
"FDG52","OUT046",869.258378212195
"NCL19","OUT019",344.964539742768
"FDS10","OUT035",2988.6544569311
"FDX22","OUT010",1420.99597241508
"NCF19","OUT035",870.962074759611
"NCE06","OUT046",2590.67651586397
"DRC27","OUT046",3901.50920190376
"FDE21","OUT035",1990.16798632109
"NCR42","OUT019",0
"FDX51","OUT018",2835.71030565191
"NCR06","OUT018",416.125680815438
"FDU31","OUT027",4918.02880084638
"FDU59","OUT017",2776.2137789911
"FDR03","OUT027",4721.18963235937
"FDS49","OUT027",2780.71336573133
"FDD48","OUT010",0
"NCF18","OUT017",3163.5599282739
"NCD43","OUT027",3092.40288215926
"NCD54","OUT018",1986.87200260155
"FDY19","OUT010",0
"NCY54","OUT017",2880.2955956641
"NCL19","OUT018",2009.7158502089
"FDP23","OUT010",1541.15485974121
"FDC26","OUT013",1856.09787830469
"FDR14","OUT010",0
"NCS41","OUT035",2981.37951715257
"FDF41","OUT035",4037.41481607824
"FDU34","OUT046",2069.70225883933
"DRH11","OUT046",982.73007123461
"FDM03","OUT013",1770.61546626922
"FDS31","OUT017",3037.20676031058
"FDJ20","OUT017",2124.12180551733
"FDV44","OUT027",4466.37898898538
"FDG02","OUT049",3067.89048554084
"FDA09","OUT013",2905.8414376485
"FDT04","OUT013",707.89428660802
"FDL58","OUT019",2272.57258768979
"FDE52","OUT045",1423.34370434248
"FDW12","OUT035",2430.35542626906
"FDL51","OUT017",3565.45595711375
"NCY42","OUT027",3682.79904329222
"FDR07","OUT017",1726.96181974562
"FDN40","OUT045",2396.4069825254
"FDB35","OUT027",2936.53192854477
"FDA22","OUT017",2800.49197878409
"NCL06","OUT046",4164.57467878686
"FDI35","OUT013",2930.69213375854
"NCW42","OUT045",3422.37588486624
"NCX06","OUT049",2885.59657657663
"FDC37","OUT027",3213.65437131842
"FDZ14","OUT018",1706.74756843684
"DRG49","OUT049",3914.22902642201
"NCG06","OUT045",3960.94246094836
"DRC36","OUT045",2691.65247899603
"FDV21","OUT019",119.700187437615
"FDB53","OUT046",2438.94060358292
"DRP47","OUT019",2072.73011424354
"FDA14","OUT013",2369.28171006907
"DRC24","OUT035",2521.02371979348
"FDW21","OUT018",1368.54225774878
"NCH29","OUT046",1594.7693900737
"FDU58","OUT013",3046.22437965288
"FDY27","OUT017",2984.35352695371
"FDV56","OUT035",1872.09684371637
"FDT59","OUT046",3713.48542055121
"FDB23","OUT046",3634.75784277828
"FDR49","OUT045",740.178248703816
"FDB03","OUT010",1930.65770727242
"FDN39","OUT045",2599.92008905623
"FDX02","OUT027",5001.87462014942
"FDQ16","OUT027",3207.39113715421
"FDU35","OUT018",1350.40594779192
"NCT29","OUT013",1964.31473631115
"FDZ27","OUT046",875.400268048331
"FDN57","OUT017",2405.33884151508
"FDA03","OUT018",2068.20743061187
"FDZ36","OUT045",2910.16331060683
"NCU05","OUT013",1326.79652777784
"FDT39","OUT018",2154.18144274568
"FDK60","OUT017",1733.14415769112
"FDZ25","OUT017",2854.36886044698
"FDG12","OUT046",2026.22365267409
"DRB01","OUT019",1125.54118047669
"NCC43","OUT027",5382.5468313884
"FDX13","OUT019",2044.70038514724
"FDM22","OUT049",955.957794743527
"FDJ03","OUT027",2290.74363734456
"FDU14","OUT018",3688.69559272743
"FDB33","OUT010",635.888835625875
"FDP27","OUT046",3092.54782546105
"FDO38","OUT010",0
"FDE28","OUT027",5140.74231374945
"FDO27","OUT035",1660.76480650762
"DRL23","OUT027",3165.00381925383
"FDS28","OUT046",997.114851888166
"FDX24","OUT013",1550.52174629523
"FDZ02","OUT035",1676.28132353538
"FDL46","OUT045",1840.19569658476
"FDS60","OUT027",4311.5436263686
"NCO06","OUT017",688.53078256912
"FDO16","OUT035",1493.5243198905
"FDC60","OUT049",1489.36568118617
"FDA48","OUT018",3228.77569819953
"FDZ36","OUT027",4430.6788653887
"FDK27","OUT045",1898.20761958109
"FDW23","OUT018",406.820007150821
"FDM14","OUT018",1516.17163411404
"FDM14","OUT013",1794.44251407324
"FDW60","OUT018",2569.55863469296
"FDE21","OUT013",1922.37988396792
"NCM42","OUT035",1832.19272525924
"FDY59","OUT010",0
"DRI49","OUT049",1364.11574417941
"FDT28","OUT019",530.410289843757
"FDQ22","OUT018",418.733531052831
"FDR60","OUT049",1321.06109815368
"FDC50","OUT019",0
"FDV24","OUT013",2472.40883196307
"DRF48","OUT010",1061.1594467126
"FDQ47","OUT046",695.754657430872
"DRN36","OUT049",1613.76769791393
"NCY06","OUT035",2130.97357489679
"FDE52","OUT035",1570.16415294203
"NCB54","OUT045",1948.9446027989
"NCF31","OUT035",2504.42785719255
"FDJ08","OUT027",4482.95960242852
"NCC07","OUT017",1824.82085036378
"NCD19","OUT027",2320.23291757808
