"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1838.37857756126
"FDW14","OUT017",1385.43486129269
"NCN55","OUT010",664.698311556571
"FDQ58","OUT017",1704.39655794635
"FDY38","OUT027",6510.03029758753
"FDH56","OUT046",2105.14192181575
"FDL48","OUT018",662.618763434849
"FDC48","OUT027",1873.3234771236
"FDN33","OUT045",1242.6160856195
"FDA36","OUT017",2646.43014030667
"FDT44","OUT017",1688.41687518175
"FDQ56","OUT045",1519.56559940589
"NCC54","OUT019",716.895598369306
"FDU11","OUT049",1882.20811996013
"DRL59","OUT013",760.701324096924
"FDM24","OUT049",2448.4410130297
"FDI57","OUT045",3562.48929314698
"DRC12","OUT018",3652.24388607302
"NCM42","OUT027",2871.46775983642
"FDA46","OUT010",430.20751067456
"FDA31","OUT013",3102.41169810053
"NCJ31","OUT035",3612.37785545411
"FDG52","OUT046",756.562697761429
"NCL19","OUT019",352.923296442924
"FDS10","OUT035",3129.26815318356
"FDX22","OUT010",525.778439978967
"NCF19","OUT035",689.925736234545
"NCE06","OUT046",2455.71834609141
"DRC27","OUT046",4247.7157948132
"FDE21","OUT035",2132.74944287899
"NCR42","OUT019",76.2517506723202
"FDX51","OUT018",2583.71120638485
"NCR06","OUT018",464.596137049949
"FDU31","OUT027",5145.7836241195
"FDU59","OUT017",2231.28015790635
"FDR03","OUT027",6001.24975942947
"FDS49","OUT027",2546.54614365146
"FDD48","OUT010",220.281618338657
"NCF18","OUT017",3110.92137040585
"NCD43","OUT027",2343.6648302127
"NCD54","OUT018",1820.46025202694
"FDY19","OUT010",245.463919126033
"NCY54","OUT017",2444.83767158969
"NCL19","OUT018",2007.04091505702
"FDP23","OUT010",552.497998051296
"FDC26","OUT013",1864.20780090313
"FDR14","OUT010",155.925621460197
"NCS41","OUT035",3154.49231370697
"FDF41","OUT035",3937.72137773522
"FDU34","OUT046",2011.46698799255
"DRH11","OUT046",870.132670270638
"FDM03","OUT013",2090.31939602176
"FDS31","OUT017",3085.06243225995
"FDJ20","OUT017",1929.5461222144
"FDV44","OUT027",4587.81505525417
"FDG02","OUT049",2799.67693319059
"FDA09","OUT013",3873.7404919272
"FDT04","OUT013",513.624735571169
"FDL58","OUT019",591.743254522591
"FDE52","OUT045",1338.26269720176
"FDW12","OUT035",2728.29703907666
"FDL51","OUT017",3814.50837910143
"NCY42","OUT027",2976.9804640309
"FDR07","OUT017",1633.99795650255
"FDN40","OUT045",2477.41746044644
"FDB35","OUT027",2884.25786665481
"FDA22","OUT017",2896.61611633885
"NCL06","OUT046",4122.58606772842
"FDI35","OUT013",3620.76849197126
"NCW42","OUT045",3684.02112252617
"NCX06","OUT049",3367.74115522995
"FDC37","OUT027",2411.57536569992
"FDZ14","OUT018",1854.28917355244
"DRG49","OUT049",5171.5998590073
"NCG06","OUT045",3652.05664525596
"DRC36","OUT045",2960.00285252718
"FDV21","OUT019",429.871284094633
"FDB53","OUT046",3032.95751592191
"DRP47","OUT019",594.629262974223
"FDA14","OUT013",2216.13061206761
"DRC24","OUT035",2685.94857400815
"FDW21","OUT018",1455.63778628542
"NCH29","OUT046",2108.27522099125
"FDU58","OUT013",3227.02785833236
"FDY27","OUT017",2103.78359528798
"FDV56","OUT035",1747.17473985785
"FDT59","OUT046",4382.81050281898
"FDB23","OUT046",3556.04195931248
"FDR49","OUT045",705.90665811536
"FDB03","OUT010",632.203033108957
"FDN39","OUT045",2687.15990778982
"FDX02","OUT027",5693.80426525529
"FDQ16","OUT027",2327.64820809482
"FDU35","OUT018",1523.00258518565
"NCT29","OUT013",1769.49405851504
"FDZ27","OUT046",742.087553964365
"FDN57","OUT017",2664.81458201013
"FDA03","OUT018",2020.26488592219
"FDZ36","OUT045",3424.22440651977
"NCU05","OUT013",1254.91448536934
"FDT39","OUT018",2252.09086856953
"FDK60","OUT017",1694.55415813914
"FDZ25","OUT017",3104.12986921726
"FDG12","OUT046",2676.28564439422
"DRB01","OUT019",439.434243033443
"NCC43","OUT027",5558.36160563845
"FDX13","OUT019",575.679067327576
"FDM22","OUT049",904.534272816037
"FDJ03","OUT027",1551.17162886889
"FDU14","OUT018",4265.43905231084
"FDB33","OUT010",395.902266805493
"FDP27","OUT046",3640.39355814497
"FDO38","OUT010",166.971019131483
"FDE28","OUT027",6019.81228548588
"FDO27","OUT035",1567.09918792481
"DRL23","OUT027",2483.88946977403
"FDS28","OUT046",936.936579014616
"FDX24","OUT013",1244.61332619441
"FDZ02","OUT035",1272.61438972234
"FDL46","OUT045",1607.20742436788
"FDS60","OUT027",4406.20892691785
"NCO06","OUT017",603.473535682396
"FDO16","OUT035",1755.66317215723
"FDC60","OUT049",1746.38068811983
"FDA48","OUT018",3702.48757271163
"FDZ36","OUT027",4659.21621664295
"FDK27","OUT045",1867.99355158317
"FDW23","OUT018",496.323228236882
"FDM14","OUT018",1476.41173465651
"FDM14","OUT013",1571.11579191704
"FDW60","OUT018",2546.82220173654
"FDE21","OUT013",1939.91547375084
"NCM42","OUT035",1761.0721058919
"FDY59","OUT010",170.531074978714
"DRI49","OUT049",1432.178622534
